title,house_type,price,size,construction_costs
Dom w lobeliach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,123,275500
Dom w tymianku 8,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,113,275900
Dom w leszczynowcach 6 (G),"jednorodzinny parterowy, z garażem jednostanowiskowym",3600,119,276300
Dom w majeranku 2 (N),jednorodzinny z poddaszem,3930,146,273200
Dom w idaredach (T),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3930,109,273700
Dom w malinówkach 3 (T),"jednorodzinny z poddaszem, z garażem jednostanowiskowym, ze stropem teriva",3930,125,273800
Dom w balsamowcach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,150,274000
Dom pod pinią 2,jednorodzinny parterowy,3600,113,274600
Dom w skrzydłokwiatach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,115,274700
Dom w abeliach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,103,274900
Dom w morelach (G2),"jednorodzinny z poddaszem, z garażem dwustanowiskowym",3930,144,275400
Dom w lobeliach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,123,275500
Dom w tymianku 8,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,113,275900
Dom w leszczynowcach 6 (G),"jednorodzinny parterowy, z garażem jednostanowiskowym",3600,119,276300
Dom w morelach 3,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,143,276400
Dom w nolanach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,124,276700
Dom w złoci (G2A),"jednorodzinny z poddaszem, z garażem dwustanowiskowym",3930,109,277300
Dom w renklodach 20,jednorodzinny parterowy,3600,148,277400
Dom w malinówkach 16 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,130,277500
Dom w werbenach 7,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,119,277900
Dom w werbenach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,121,278100
Dom w poziomkach 7 (P),"jednorodzinny z poddaszem, z piwnicą",3930,135,278400
Dom w firletkach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,137,278600
Dom w zdrojówkach 12,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,129,278700
Dom w renklodach 26 (G),"jednorodzinny parterowy, z garażem jednostanowiskowym",3600,140,279000
Dom w balsamowcach (A),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,124,279200
Dom w filodendronach (M),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,127,279300
Dom w morelach 3,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,143,276400
Dom w nolanach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,124,276700
Dom w złoci (G2A),"jednorodzinny z poddaszem, z garażem dwustanowiskowym",3930,109,277300
Dom w renklodach 20,jednorodzinny parterowy,3600,148,277400
Dom w malinówkach 16 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,130,277500
Dom w werbenach 7,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,119,277900
Dom w werbenach 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,121,278100
Dom w poziomkach 7 (P),"jednorodzinny z poddaszem, z piwnicą",3930,135,278400
Dom w firletkach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,137,278600
Dom w zdrojówkach 12,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,129,278700
Dom w renklodach 26 (G),"jednorodzinny parterowy, z garażem jednostanowiskowym",3600,140,279000
Dom w balsamowcach (A),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,124,279200
Dom w filodendronach (M),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,127,279300
