title,house_type,price,size,construction_costs
Dom w arkadiach 5,jednorodzinny z poddaszem,3370,89,175000
Dom w manuce,jednorodzinny z poddaszem,3370,93,175200
Dom w rododendronach 11 (N),jednorodzinny z poddaszem,3370,60,175300
Dom w arkadiach 2,jednorodzinny z poddaszem,3370,79,175400
Dom w azaliach 3,jednorodzinny z poddaszem,3370,90,177800
Dom w malinówkach 18,jednorodzinny z poddaszem,3370,129,178500
Dom w zielistkach 24,jednorodzinny z poddaszem,3370,90,179100
Dom - Miniaturka (N),jednorodzinny z poddaszem,3370,90,179200
Dom w zielistkach 22,jednorodzinny z poddaszem,3370,90,179600
Dom w cienistkach 4,jednorodzinny z poddaszem,3370,78,181200
Dom w antonówkach,jednorodzinny z poddaszem,3370,97,181700
Dom w zielistkach (GNT),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,89,182000
Dom w malinówkach 28,jednorodzinny z poddaszem,3370,89,182900
Dom w zielistkach 11,jednorodzinny z poddaszem,3370,99,183100
Dom w arkadiach 4,jednorodzinny piętrowy,3370,118,183300
Dom w poziomkach 5 (T),"jednorodzinny z poddaszem, ze stropem teriva",3370,87,183500
Dom w oleandrach 4,jednorodzinny z poddaszem,3370,107,184100
Dom w irysach 4 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,109,184300
Dom w rododendronach (T),"jednorodzinny z poddaszem, ze stropem teriva",3370,90,184800
Dom na wzgórzu (N),jednorodzinny z poddaszem,3370,90,185400
Dom w klementynkach 2,jednorodzinny z poddaszem,3370,99,186000
Dom w kruszczykach 3 (G),"jednorodzinny parterowy, z garażem jednostanowiskowym",3060,105,186300
Dom w azaliach 3,jednorodzinny z poddaszem,3370,90,177800
Dom w malinówkach 18,jednorodzinny z poddaszem,3370,129,178500
Dom w zielistkach 24,jednorodzinny z poddaszem,3370,90,179100
Dom - Miniaturka (N),jednorodzinny z poddaszem,3370,90,179200
Dom w zielistkach 22,jednorodzinny z poddaszem,3370,90,179600
Dom w cienistkach 4,jednorodzinny z poddaszem,3370,78,181200
Dom w antonówkach,jednorodzinny z poddaszem,3370,97,181700
Dom w zielistkach (GNT),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,89,182000
Dom w malinówkach 28,jednorodzinny z poddaszem,3370,89,182900
Dom w zielistkach 11,jednorodzinny z poddaszem,3370,99,183100
Dom w arkadiach 4,jednorodzinny piętrowy,3370,118,183300
Dom w poziomkach 5 (T),"jednorodzinny z poddaszem, ze stropem teriva",3370,87,183500
Dom w oleandrach 4,jednorodzinny z poddaszem,3370,107,184100
Dom w irysach 4 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,109,184300
Dom w rododendronach (T),"jednorodzinny z poddaszem, ze stropem teriva",3370,90,184800
Dom na wzgórzu (N),jednorodzinny z poddaszem,3370,90,185400
